step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
150,0.625,-2.5629408212555807e-16,10.519560168692351,1.036091883896654e-13,-2.5629408212555807e-16,10.519560168692351,1.036091883896654e-13,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,10.519560813903809,10.51955795288086,10.519559860229492,10.519559860229492,0.028441105037927628,0.029178516939282417,4.558900356292725,4.806920051574707,0.13962633907794952,0.13962633907794952,0.0,0.0,nan,nan,9.692461967468262,9.692461967468262,19.384923934936523,0.0,0.25816717743873596,0.2982375919818878,0.0,0.0,0.0,0.2982375919818878,0.0,0.25816717743873596,0.0,0.0,0.0,0.22150743007659912,-0.022333767265081406,0.3256249725818634,0.0,0.0,0.0,0.0,0.25816717743873596,0.2982375919818878,0.0,0.0,0.0,0.2982375919818878,0.0,0.25816717743873596,-0.0,-0.0,-0.0,0.22150741517543793,0.02233371138572693,0.3256249725818634,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,0.0,0.05600005388259888,0.6000000238418579,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,0.44301486015319824,-5.587935447692871e-08,0.6512499451637268,0.0,0.0,0.0,3.91155481338501e-08,4.852190471638096e-08,-2.8870999813079834e-08,25.355243682861328,25.355243682861328,42.52585983276367,42.52585983276367,0.1915258765220642,0.1915258765220642,0.6076904535293579,0.6076904535293579,0.20078371465206146,0.20078371465206146,0.0,0.0,0.629149317741394,0.629149317741394,-0.37098217010498047,-0.37098217010498047,0.48498883843421936,0.48498883843421936,0.0,0.0,-0.18675127625465393,-0.18675127625465393,0.2982375919818878,0.2982375919818878,0.3437656760215759,0.3437656760215759,-0.24297858774662018,-0.24297858774662018,0.018820809200406075,0.018820809200406075,-43.89889907836914,-43.89889907836914,-31.74117660522461,-31.74117660522461,-16.74117660522461,-16.74117660522461,23.0,23.0,0.0,0.0,180.0
151,0.6291666666666667,0.04378024763146727,10.482666590547439,-17.69855896388859,0.04378024763146727,10.482666590547439,-17.69855896388859,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,10.482664108276367,10.482666969299316,10.482666969299316,10.482666969299316,0.07102380692958832,0.07181183248758316,4.1194987297058105,4.384317398071289,0.1391366571187973,0.1391366571187973,0.0,0.0,nan,nan,9.593473434448242,9.593473434448242,19.186946868896484,0.0,0.22218948602676392,0.30177468061447144,0.0,0.0,0.0,0.30177468061447144,0.0,0.22218948602676392,0.0,0.0,0.0,0.23403795063495636,-0.009515009820461273,0.29252660274505615,0.0,0.0,0.0,0.0,0.22218948602676392,0.30177468061447144,0.0,0.0,0.0,0.30177468061447144,0.0,0.22218948602676392,-0.0,-0.0,-0.0,0.23403792083263397,0.009514957666397095,0.29252663254737854,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-7.450580596923828e-08,0.05600005388259888,0.6000000238418579,1.4901161193847656e-08,-0.055999964475631714,0.6000000238418579,0.46807587146759033,-5.21540641784668e-08,0.5850532054901123,0.0,0.0,0.0,2.421438694000244e-08,4.35898606099272e-08,-2.1420419216156006e-08,25.33949089050293,25.339496612548828,42.48937225341797,42.48937225341797,0.1915258765220642,0.1915258765220642,0.6076904535293579,0.6076904535293579,0.20078371465206146,0.20078371465206146,0.0,0.0,0.4495229721069336,0.4495229721069336,-0.22733353078365326,-0.22733353078365326,0.4884459972381592,0.4884459972381592,0.0,0.0,-0.18667137622833252,-0.18667137622833252,0.30177468061447144,0.30177468061447144,0.3437656760215759,0.3437656760215759,-0.24715188145637512,-0.24715188145637512,0.020672162994742393,0.020672162994742393,-43.76195526123047,-43.76195526123047,-31.678234100341797,-31.678234100341797,-16.66477394104004,-16.66477394104004,22.97194480895996,22.97194480895996,0.0,0.0,180.0
152,0.6333333333333333,0.08725340828186456,10.37224463805539,-35.272975253042674,0.08725340828186456,10.37224463805539,-35.272975253042674,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,10.372241973876953,10.372245788574219,10.372244834899902,10.372244834899902,0.11307729035615921,0.11391063034534454,3.646226644515991,3.925888776779175,0.13767102360725403,0.13767102360725403,0.0,0.0,nan,nan,9.206108093261719,9.206108093261719,18.412216186523438,0.0,0.23263996839523315,0.2994013726711273,0.0,0.0,0.0,0.2994013726711273,0.0,0.23263996839523315,0.0,0.0,0.0,0.22898797690868378,0.00014797187759540975,0.30220359563827515,0.0,0.0,0.0,0.0,0.23263996839523315,0.2994013726711273,0.0,0.0,0.0,0.2994013726711273,0.0,0.23263996839523315,-0.0,-0.0,-0.0,0.22898796200752258,-0.00014802452642470598,0.30220362544059753,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1920928955078125e-07,0.05600002408027649,0.5999999642372131,0.0,-0.055999964475631714,0.6000000238418579,0.45797592401504517,-5.264882929623127e-08,0.6044071912765503,0.0,0.0,0.0,1.6763806343078613e-08,4.9395836754229094e-08,-1.3969838619232178e-08,25.274629592895508,25.274633407592773,42.34548568725586,42.345489501953125,0.1915258765220642,0.1915258765220642,0.6076904535293579,0.6076904535293579,0.20078371465206146,0.20078371465206146,0.0,0.0,0.31444400548934937,0.31444400548934937,-0.08180402964353561,-0.08180402964353561,0.485836386680603,0.485836386680603,0.0,0.0,-0.18643508851528168,-0.18643508851528168,0.2994013726711273,0.2994013726711273,0.3437656760215759,0.3437656760215759,-0.25039467215538025,-0.25039467215538025,0.023411769419908524,0.023411769419908524,-43.324928283691406,-43.324928283691406,-31.441341400146484,-31.441341400146484,-16.414518356323242,-16.414518356323242,22.887969970703125,22.887969970703125,0.0,0.0,180.0
153,0.6375,0.13011454896465105,10.189068841874878,-52.59997696439406,0.13011454896465105,10.189068841874878,-52.59997696439406,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,10.189065933227539,10.189068794250488,10.189068794250488,10.189068794250488,0.15430648624897003,0.15517956018447876,3.142385959625244,3.434833526611328,0.13523972034454346,0.13523972034454346,0.0,0.0,nan,nan,8.542936325073242,8.542936325073242,17.085872650146484,0.0,0.2896345853805542,0.2909892201423645,0.0,0.0,0.0,0.2909892201423645,0.0,0.2896345853805542,0.0,0.0,0.0,0.2061821073293686,0.012594194151461124,0.3548143804073334,0.0,0.0,0.0,0.0,0.2896345853805542,0.2909892201423645,0.0,0.0,0.0,0.2909892201423645,0.0,0.2896345853805542,-0.0,-0.0,-0.0,0.206182062625885,-0.012594260275363922,0.3548143804073334,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1175870895385742e-07,0.05600002408027649,0.5999999642372131,-7.450580596923828e-09,-0.0559999942779541,0.6000000238418579,0.4123641848564148,-6.612390279769897e-08,0.7096287608146667,0.0,0.0,0.0,1.1175870895385742e-08,6.173063127334899e-08,-9.313225746154785e-09,25.159570693969727,25.15957260131836,42.0908088684082,42.090816497802734,0.1915258765220642,0.1915258765220642,0.620768129825592,0.620768129825592,0.18770600855350494,0.18770600855350494,0.0,0.0,0.2247805893421173,0.2247805893421173,0.0648539662361145,0.0648539662361145,0.47704190015792847,0.47704190015792847,0.0,0.0,-0.18605265021324158,-0.18605265021324158,0.2909892201423645,0.2909892201423645,0.3437656760215759,0.3437656760215759,-0.25268426537513733,-0.25268426537513733,0.027020344510674477,0.027020344510674477,-42.590240478515625,-42.590240478515625,-31.031810760498047,-31.031810760498047,-15.99181079864502,-15.99181079864502,22.748666763305664,22.748666763305664,0.0,0.0,180.0
154,0.6416666666666666,0.17206302957362585,9.934424048604473,-69.55802763037188,0.17206302957362585,9.934424048604473,-69.55802763037188,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,9.93442153930664,9.93442440032959,9.93442440032959,9.93442440032959,0.19442224502563477,0.19532915949821472,2.6115238666534424,2.914608955383301,0.13185980916023254,0.13185980916023254,0.0,0.0,nan,nan,7.628445625305176,7.628445625305176,15.256891250610352,0.0,0.3926912546157837,0.27677786350250244,0.0,0.0,0.0,0.27677786350250244,0.0,0.3926912546157837,0.0,0.0,0.0,0.16608184576034546,0.03351294994354248,0.449562132358551,0.0,0.0,0.0,0.0,0.3926912546157837,0.27677786350250244,0.0,0.0,0.0,0.27677786350250244,0.0,0.3926912546157837,-0.0,-0.0,-0.0,0.16608187556266785,-0.033513039350509644,0.449562132358551,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.043081283569336e-07,0.0559999942779541,0.5999999642372131,0.0,-0.055999964475631714,0.6000000238418579,0.3321637213230133,-8.940696716308594e-08,0.899124264717102,0.0,0.0,0.0,1.4901161193847656e-08,7.718772110365535e-08,-5.587935447692871e-09,24.992431640625,24.992431640625,41.71961212158203,41.71961212158203,0.1915258765220642,0.1915258765220642,0.6336535215377808,0.6336535215377808,0.17482061684131622,0.17482061684131622,0.0,0.0,0.18084561824798584,0.18084561824798584,0.21184563636779785,0.21184563636779785,0.4623185098171234,0.4623185098171234,0.0,0.0,-0.18554061651229858,-0.18554061651229858,0.27677786350250244,0.27677786350250244,0.3437656760215759,0.3437656760215759,-0.25400272011756897,-0.25400272011756897,0.03147444501519203,0.03147444501519203,-41.56199645996094,-41.56199645996094,-30.451921463012695,-30.451921463012695,-15.399024963378906,-15.399024963378906,22.555011749267578,22.555011749267578,0.0,0.0,180.0
155,0.6458333333333334,0.2128046116572587,9.61009640850693,-86.02817870989689,0.2128046116572587,9.61009640850693,-86.02817870989689,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,9.610097885131836,9.610095024108887,9.610095977783203,9.610095977783203,0.23314350843429565,0.23407810926437378,2.057408332824707,2.3689022064208984,0.1275550127029419,0.1275550127029419,0.0,0.0,nan,nan,6.498261451721191,6.498261451721191,12.996522903442383,0.0,0.5407459139823914,0.25736093521118164,0.0,0.0,0.0,0.25736093521118164,0.0,0.5407459139823914,0.0,0.0,0.0,0.1097491979598999,0.06805414706468582,0.5847773551940918,0.0,0.0,0.0,0.0,0.5407459139823914,0.25736093521118164,0.0,0.0,0.0,0.25736093521118164,0.0,0.5407459139823914,-0.0,-0.0,-0.0,0.1097492054104805,-0.06805428117513657,0.5847773551940918,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.4901161193847656e-08,0.05600005388259888,0.5999999642372131,-8.940696716308594e-08,-0.055999964475631714,0.6000000238418579,0.2194983959197998,-1.341104507446289e-07,1.1695547103881836,0.0,0.0,0.0,5.587935447692871e-08,1.0673863926058402e-07,-4.190951585769653e-09,24.770654678344727,24.770652770996094,41.22378158569336,41.22378158569336,0.1915258765220642,0.1915258765220642,0.646324098110199,0.646324098110199,0.1621500849723816,0.1621500849723816,0.0,0.0,0.1824217140674591,0.1824217140674591,0.35832422971725464,0.35832422971725464,0.4422823190689087,0.4422823190689087,0.0,0.0,-0.18492135405540466,-0.18492135405540466,0.25736093521118164,0.25736093521118164,0.3437656760215759,0.3437656760215759,-0.2543371319770813,-0.2543371319770813,0.0367465615272522,0.0367465615272522,-40.246036529541016,-40.246036529541016,-29.7049617767334,-29.7049617767334,-14.639542579650879,-14.639542579650879,22.308364868164062,22.308364868164062,0.0,0.0,180.0
156,0.65,0.25205352229001754,9.218360846948459,-101.89490392693274,0.25205352229001754,9.218360846948459,-101.89490392693274,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,9.218358993530273,9.218360900878906,9.218360900878906,9.218360900878906,0.27019909024238586,0.27115505933761597,1.4839965105056763,1.8016204833984375,0.12235549092292786,0.12235549092292786,0.0,0.0,nan,nan,5.197889804840088,5.197889804840088,10.395779609680176,0.0,0.7321898937225342,0.23365677893161774,0.0,0.0,0.0,0.23365677893161774,0.0,0.7321898937225342,0.0,0.0,0.0,0.03877808526158333,0.12057899683713913,0.7580597400665283,0.0,0.0,0.0,0.0,0.7321898937225342,0.23365677893161774,0.0,0.0,0.0,0.23365677893161774,0.0,0.7321898937225342,-0.0,-0.0,-0.0,0.03877805545926094,-0.12057913839817047,0.7580596804618835,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-7.450580596923828e-08,0.05600005388259888,0.5999999642372131,-5.21540641784668e-08,-0.055999934673309326,0.5999999642372131,0.07755614072084427,-1.4156103134155273e-07,1.5161194801330566,0.0,0.0,0.0,9.313225746154785e-08,1.5916884876787663e-07,-9.080395102500916e-09,24.49113655090332,24.49113655090332,40.59290313720703,40.59290313720703,0.1915258765220642,0.1915258765220642,0.6709256768226624,0.6709256768226624,0.13754841685295105,0.13754841685295105,0.0,0.0,0.22880378365516663,0.22880378365516663,0.5033860802650452,0.5033860802650452,0.4178788959980011,0.4178788959980011,0.0,0.0,-0.18422213196754456,-0.18422213196754456,0.23365677893161774,0.23365677893161774,0.3437656760215759,0.3437656760215759,-0.2536798119544983,-0.2536798119544983,0.04280494526028633,0.04280494526028633,-38.649986267089844,-38.649986267089844,-28.795257568359375,-28.795257568359375,-13.7177734375,-13.7177734375,22.010454177856445,22.010454177856445,0.0,0.0,180.0
157,0.6541666666666667,0.28953445856411775,8.761965107431775,-117.04690960430862,0.28953445856411775,8.761965107431775,-117.04690960430862,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,8.761962890625,8.761963844299316,8.761964797973633,8.761964797973633,0.3053295612335205,0.30630049109458923,0.8954010605812073,1.216827392578125,0.11629774421453476,0.11629774421453476,0.0,0.0,nan,nan,3.7810044288635254,3.7810044288635254,7.562008857727051,0.0,0.9649426341056824,0.2068662941455841,0.0,0.0,0.0,0.2068662941455841,0.0,0.9649426341056824,0.0,0.0,0.0,-0.044803645461797714,0.1944623589515686,0.9664806723594666,0.0,0.0,0.0,0.0,0.9649426341056824,0.2068662941455841,0.0,0.0,0.0,0.2068662941455841,0.0,0.9649426341056824,-0.0,-0.0,-0.0,-0.04480360820889473,-0.1944625824689865,0.9664806127548218,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-3.725290298461914e-08,0.0559999942779541,0.6000000238418579,-2.2351741790771484e-08,-0.055999964475631714,0.6000000238418579,-0.08960725367069244,-2.2351741790771484e-07,1.9329612255096436,0.0,0.0,0.0,3.3527612686157227e-08,1.4401683756659622e-07,6.984919309616089e-10,24.15043830871582,24.150432586669922,39.814308166503906,39.814308166503906,0.1915258765220642,0.1915258765220642,0.6943669319152832,0.6943669319152832,0.11410718411207199,0.11410718411207199,0.0,0.0,0.3188742399215698,0.3188742399215698,0.6460684537887573,0.6460684537887573,0.39034050703048706,0.39034050703048706,0.0,0.0,-0.18347421288490295,-0.18347421288490295,0.2068662941455841,0.2068662941455841,0.3437656760215759,0.3437656760215759,-0.25202879309654236,-0.25202879309654236,0.04961376264691353,0.04961376264691353,-36.78327941894531,-36.78327941894531,-27.728168487548828,-27.728168487548828,-12.639161109924316,-12.639161109924316,21.66337013244629,21.66337013244629,0.0,0.0,180.0
158,0.6583333333333333,0.32498451864161143,8.244110478149711,-131.37791530889848,0.32498451864161143,8.244110478149711,-131.37791530889848,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,8.244110107421875,8.244107246398926,8.244110107421875,8.244110107421875,0.3382892310619354,0.3392684757709503,0.29584652185440063,0.6187309622764587,0.10942424833774567,0.10942424833774567,0.0,0.0,nan,nan,2.307464122772217,2.307464122772217,4.614928245544434,0.0,1.236530065536499,0.17842283844947815,0.0,0.0,0.0,0.17842283844947815,0.0,1.236530065536499,0.0,0.0,0.0,-0.13864478468894958,0.29196497797966003,1.206803798675537,0.0,0.0,0.0,0.0,1.236530065536499,0.17842283844947815,0.0,0.0,0.0,0.17842283844947815,0.0,1.236530065536499,-0.0,-0.0,-0.0,-0.138644739985466,-0.29196518659591675,1.2068036794662476,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,2.2351741790771484e-08,0.05600005388259888,0.6000000238418579,-1.4901161193847656e-07,-0.055999964475631714,0.5999999642372131,-0.2772895097732544,-2.086162567138672e-07,2.413607597351074,0.0,0.0,0.0,9.685754776000977e-08,2.6901412297775096e-07,6.472691893577576e-08,23.74497413635254,23.74497413635254,38.873268127441406,38.873268127441406,0.1915258765220642,0.1915258765220642,0.7268490195274353,0.7268490195274353,0.08162510395050049,0.08162510395050049,0.0,0.0,0.45117688179016113,0.45117688179016113,0.7853531837463379,0.7853531837463379,0.3611345589160919,0.3611345589160919,0.0,0.0,-0.18271169066429138,-0.18271169066429138,0.17842283844947815,0.17842283844947815,0.3437656760215759,0.3437656760215759,-0.24938830733299255,-0.24938830733299255,0.05713256821036339,0.05713256821036339,-34.657249450683594,-34.657249450683594,-26.51015853881836,-26.51015853881836,-11.41025447845459,-11.41025447845459,21.269546508789062,21.269546508789062,0.0,0.0,180.0
159,0.6625,0.3581550458218894,7.668429337248623,-144.78739933249867,0.3581550458218894,7.668429337248623,-144.78739933249867,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,7.668426990509033,7.668428897857666,7.668429374694824,7.668429851531982,0.36884745955467224,0.36982840299606323,-0.31035757064819336,0.01162874698638916,0.10178322345018387,0.10178322345018387,0.0,0.0,nan,nan,0.8410114049911499,0.8410114049911499,1.6820228099822998,0.0,1.544202208518982,0.14993490278720856,0.0,0.0,0.0,0.14993490278720856,0.0,1.544202208518982,0.0,0.0,0.0,-0.24019834399223328,0.41417524218559265,1.4757386445999146,0.0,0.0,0.0,0.0,1.544202208518982,0.14993490278720856,0.0,0.0,0.0,0.14993490278720856,0.0,1.544202208518982,-0.0,-0.0,-0.0,-0.24019837379455566,-0.41417554020881653,1.475738525390625,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-7.450580596923828e-08,0.0559999942779541,0.5999999642372131,-5.21540641784668e-08,-0.055999934673309326,0.6000000238418579,-0.48039671778678894,-2.980232238769531e-07,2.95147705078125,0.0,0.0,0.0,1.1920928955078125e-07,3.331751088353485e-07,3.725290298461914e-09,23.271244049072266,23.271249771118164,37.753273010253906,37.753273010253906,0.1915258765220642,0.1915258765220642,0.755336344242096,0.755336344242096,0.05313779413700104,0.05313779413700104,0.0,0.0,0.6240272521972656,0.6240272521972656,0.9201749563217163,0.9201749563217163,0.3319053649902344,0.3319053649902344,0.0,0.0,-0.181970477104187,-0.181970477104187,0.14993490278720856,0.14993490278720856,0.3437656760215759,0.3437656760215759,-0.2457689791917801,-0.2457689791917801,0.06531650573015213,0.06531650573015213,-32.285099029541016,-32.285099029541016,-25.148773193359375,-25.148773193359375,-10.03867244720459,-10.03867244720459,20.831748962402344,20.831748962402344,0.0,0.0,180.0
160,0.6666666666666666,0.3888133726897723,7.038959674305614,-157.18130377938425,0.3888133726897723,7.038959674305614,-157.18130377938425,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,7.038958549499512,7.038959980010986,7.038959980010986,7.038959980010986,0.39679065346717834,0.39776650071144104,-0.9188655614852905,-0.6001217365264893,0.09342825412750244,0.09342825412750244,0.0,0.0,nan,nan,-0.5530480742454529,-0.5530480742454529,-1.1060961484909058,0.0,1.885042667388916,0.1231284812092781,0.0,0.0,0.0,0.1231284812092781,0.0,1.885042667388916,0.0,0.0,0.0,-0.3468429446220398,0.5610215663909912,1.7701698541641235,0.0,0.0,0.0,0.0,1.885042667388916,0.1231284812092781,0.0,0.0,0.0,0.1231284812092781,0.0,1.885042667388916,-0.0,-0.0,-0.0,-0.3468429446220398,-0.5610219836235046,1.770169734954834,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1920928955078125e-07,0.0559999942779541,0.5999999642372131,7.450580596923828e-08,-0.0559999942779541,0.6000000238418579,-0.6936858892440796,-4.172325134277344e-07,3.540339469909668,0.0,0.0,0.0,3.725290298461914e-08,2.58071736425336e-07,-1.0803341865539551e-07,22.726119995117188,22.726119995117188,36.43656921386719,36.43656921386719,0.1915258765220642,0.1915258765220642,0.7912157773971558,0.7912157773971558,0.017258400097489357,0.017258400097489357,0.0,0.0,0.8356091976165771,0.8356091976165771,1.0494334697723389,1.0494334697723389,0.30441543459892273,0.30441543459892273,0.0,0.0,-0.18128696084022522,-0.18128696084022522,0.1231284812092781,0.1231284812092781,0.3437656760215759,0.3437656760215759,-0.24118854105472565,-0.24118854105472565,0.07411588728427887,0.07411588728427887,-29.681962966918945,-29.681962966918945,-23.65268325805664,-23.65268325805664,-8.533156394958496,-8.533156394958496,20.353044509887695,20.353044509887695,0.0,0.0,180.0
161,0.6708333333333333,0.4167444531102592,6.360116766732898,-168.4726943148684,0.4167444531102592,6.360116766732898,-168.4726943148684,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,6.360117435455322,6.360116004943848,6.360117435455322,6.360117435455322,0.4219230115413666,0.42288729548454285,-1.5253336429595947,-1.212162971496582,0.08441796153783798,0.08441796153783798,0.0,0.0,nan,nan,-1.8101540803909302,-1.8101540803909302,-3.6203081607818604,0.0,2.2560925483703613,0.09979173541069031,0.0,0.0,0.0,0.09979173541069031,0.0,2.2560925483703613,0.0,0.0,0.0,-0.455996572971344,0.7313424944877625,2.0873708724975586,0.0,0.0,0.0,0.0,2.2560925483703613,0.09979173541069031,0.0,0.0,0.0,0.09979173541069031,0.0,2.2560925483703613,-0.0,-0.0,-0.0,-0.455996572971344,-0.7313429117202759,2.0873708724975586,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,7.450580596923828e-09,0.056000083684921265,0.5999999642372131,-5.21540641784668e-08,-0.055999964475631714,0.6000000238418579,-0.911993145942688,-4.172325134277344e-07,4.174741744995117,0.0,0.0,0.0,2.905726432800293e-07,3.071177729907504e-07,9.685754776000977e-08,22.107107162475586,22.10710906982422,34.904972076416016,34.904972076416016,0.1915258765220642,0.1915258765220642,0.8084741830825806,0.8084741830825806,0.0,0.0,0.0,0.0,1.0840802192687988,1.0840802192687988,1.172012209892273,1.172012209892273,0.2804887890815735,0.2804887890815735,0.0,0.0,-0.1806970238685608,-0.1806970238685608,0.09979173541069031,0.09979173541069031,0.3437656760215759,0.3437656760215759,-0.2356719821691513,-0.2356719821691513,0.08347608149051666,0.08347608149051666,-26.864877700805664,-26.864877700805664,-22.031644821166992,-22.031644821166992,-6.903532028198242,-6.903532028198242,19.836793899536133,19.836793899536133,0.0,0.0,180.0
162,0.675,0.44175237062265454,5.636662209779128,-178.58236994719778,0.44175237062265454,5.636662209779128,-178.58236994719778,8.0,-8.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.2,3.2,3.2,5.636661052703857,5.636661529541016,5.636662483215332,5.636662483215332,0.4440687894821167,0.4450148642063141,-2.1254706382751465,-1.820153832435608,0.074815534055233,0.074815534055233,0.0,0.0,nan,nan,-2.8686273097991943,-2.8686273097991943,-5.737254619598389,0.0,2.654470205307007,0.08172479271888733,0.0,0.0,0.0,0.08172479271888733,0.0,2.654470205307007,0.0,0.0,0.0,-0.5652156472206116,0.9230043888092041,2.425177574157715,0.0,0.0,0.0,0.0,2.654470205307007,0.08172479271888733,0.0,0.0,0.0,0.08172479271888733,0.0,2.654470205307007,-0.0,-0.0,-0.0,-0.5652157068252563,-0.9230048656463623,2.4251773357391357,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-7.450580596923828e-08,0.05600005388259888,0.5999999642372131,-7.450580596923828e-09,-0.055999934673309326,0.6000000238418579,-1.1304314136505127,-4.76837158203125e-07,4.85035514831543,0.0,0.0,0.0,3.5762786865234375e-07,4.492760297125642e-07,0.0,21.412742614746094,21.412742614746094,33.14112854003906,33.14112854003906,0.1915258765220642,0.1915258765220642,0.8084741830825806,0.8084741830825806,0.0,0.0,0.0,0.0,1.3676724433898926,1.3676724433898926,1.2867977619171143,1.2867977619171143,0.2619597315788269,0.2619597315788269,0.0,0.0,-0.18023495376110077,-0.18023495376110077,0.08172479271888733,0.08172479271888733,0.3437656760215759,0.3437656760215759,-0.229251891374588,-0.229251891374588,0.0933375433087349,0.0933375433087349,-23.852741241455078,-23.852741241455078,-20.296518325805664,-20.296518325805664,-5.1607184410095215,-5.1607184410095215,19.2866153717041,19.2866153717041,0.0,0.0,180.0
